01 = Bloom Enchantix
02 = Stella Enchantix
03 = Musa Enchantix
04 = Flora Enchantix
05 = Tecna Enchantix
06 = Layla Enchantix
11 = Bloom Casual Costume
12 = Stella Casual Costume
13 = Musa Casual Costume
14 = Flora Casual Costume
15 = Tecna Casual Costume
16 = Layla Casual Costume
21 = Bloom Denim Costume
22 = Stella Denim Costume
23 = Musa Denim Costume
24 = Flora Denim Costume
25 = Tecna Denim Costume
26 = Layla Denim Costume
31 = Bloom Dance Costume
32 = Stella Dance Costume
33 = Musa Dance Costume
34 = Flora Dance Costume
35 = Tecna Dance Costume
36 = Layla Dance Costume
