00 = Bloom Enchantix
01 = Stella Enchantix
02 = Musa Enchantix
03 = Flora Enchantix
04 = Tecna Enchantix
05 = Layla Enchantix
10 = Bloom Casual Costume
11 = Stella Casual Costume
12 = Musa Casual Costume
13 = Flora Casual Costume
14 = Tecna Casual Costume
15 = Layla Casual Costume
20 = Bloom Denim Costume
21 = Stella Denim Costume
22 = Musa Denim Costume
23 = Flora Denim Costume
24 = Tecna Denim Costume
25 = Layla Denim Costume
30 = Bloom Dance Costume
31 = Stella Dance Costume
32 = Musa Dance Costume
33 = Flora Dance Costume
34 = Tecna Dance Costume
35 = Layla Dance Costume
